If Alice is cold and it is raining, then she will
If Alice is hot and it is raining, then she will
If Alice is mad and it is wrong, then she will
If Alice is happy and it is wrong, then she will
If Alice is happy and it is pretty, then she will
If Alice is mad and it is pretty, then she will
If Alice is ill and it is cold, then she will
If Alice is ill and it is cold, then she will
If Alice is mad and it is late, then she will
If Alice is patient and it is late, then she will
If Alice is driven and it is easy, then she will
If Alice is lazy and it is easy, then she will
If Alice is driven and it is important, then she will
If Alice is lazy and it is important, then she will
If Alice is involved and it is wrong, then she will
If Alice is watching and it is wrong, then she will
If Alice is happy and it is fair, then she will
If Alice is mad and it is fair, then she will
If Alice is ill and it is expensive, then she will
If Alice is happy and it is expensive, then she will
If Alice is content and it is pleasant, then she will
If Alice is upset and it is pleasant, then she will
If Alice is mad and it is wrong, then she will
If Alice is happy and it is wrong, then she will
If Alice is ill and it is late, then she will
If Alice is happy and it is late, then she will
If Alice is alert and it is interesting, then she will
If Alice is occupied and it is interesting, then she will
If Alice is interested and it is odd, then she will
If Alice is occupied and it is odd, then she will

